Output Image,Detection Info,flag,username,timestamp
"{""path"": ""gradio_cached_examples/15/Output Image/84a872ba1b703114a228/image.webp"", ""url"": ""/file=/private/var/folders/4_/p1zcwx017w5f78hfdn_6thjh0000gn/T/gradio/c7f9cdacb8ecee364da005a3a56c38300ccf1fa8/image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","Number of objects detected: 1
Number of other objects detected: 0",,,2024-07-01 17:44:27.083338
"{""path"": ""gradio_cached_examples/15/Output Image/32ae8c85719419e4e459/image.webp"", ""url"": ""/file=/private/var/folders/4_/p1zcwx017w5f78hfdn_6thjh0000gn/T/gradio/3e1b55c5c7fb01efcffd7b845362561d5fa6cbc2/image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","Number of objects detected: 1
Number of other objects detected: 0",,,2024-07-01 17:44:27.335856
